{ turn: 63, highestPoint: 102 }
{ turn: 64, highestPoint: 104 }
{ turn: 65, highestPoint: 104 }
{ turn: 66, highestPoint: 104 }
{ turn: 67, highestPoint: 106 }
{ turn: 68, highestPoint: 109 }
{ turn: 69, highestPoint: 113 }
{ turn: 70, highestPoint: 113 }
{ turn: 71, highestPoint: 114 }
{ turn: 72, highestPoint: 116 }
{ turn: 73, highestPoint: 117 }
{ turn: 74, highestPoint: 119 }
{ turn: 75, highestPoint: 119 }
{ turn: 76, highestPoint: 120 }
{ turn: 77, highestPoint: 122 }
{ turn: 78, highestPoint: 123 }
{ turn: 79, highestPoint: 125 }
{ turn: 80, highestPoint: 125 }
{ turn: 81, highestPoint: 126 }
{ turn: 82, highestPoint: 129 }
{ turn: 83, highestPoint: 131 }
{ turn: 84, highestPoint: 131 }
{ turn: 85, highestPoint: 131 }
{ turn: 86, highestPoint: 132 }
{ turn: 87, highestPoint: 135 }
{ turn: 88, highestPoint: 138 }
{ turn: 89, highestPoint: 142 }
{ turn: 90, highestPoint: 142 }
{ turn: 91, highestPoint: 143 }
{ turn: 92, highestPoint: 145 }
{ turn: 93, highestPoint: 148 }
{ turn: 94, highestPoint: 148 }
{ turn: 95, highestPoint: 149 }
{ turn: 96, highestPoint: 150 }
{ turn: 97, highestPoint: 153 }
{ turn: 98, highestPoint: 155 }
{ turn: 99, highestPoint: 157 }
{ turn: 100, highestPoint: 157 }
{ turn: 101, highestPoint: 157 }
{ turn: 102, highestPoint: 159 }
{ turn: 103, highestPoint: 162 }
{ turn: 104, highestPoint: 166 }
{ turn: 105, highestPoint: 166 }
{ turn: 106, highestPoint: 167 }
{ turn: 107, highestPoint: 169 }
{ turn: 108, highestPoint: 170 }
{ turn: 109, highestPoint: 172 }
{ turn: 110, highestPoint: 172 }
{ turn: 111, highestPoint: 173 }
{ turn: 112, highestPoint: 175 }
{ turn: 113, highestPoint: 176 }
{ turn: 114, highestPoint: 178 }
{ turn: 115, highestPoint: 178 }
{ turn: 116, highestPoint: 179 }
{ turn: 117, highestPoint: 182 }
{ turn: 118, highestPoint: 184 }
{ turn: 119, highestPoint: 184 }
{ turn: 120, highestPoint: 184 }
{ turn: 121, highestPoint: 185 }
{ turn: 122, highestPoint: 188 }
{ turn: 123, highestPoint: 191 }
{ turn: 124, highestPoint: 195 }
{ turn: 125, highestPoint: 195 }
{ turn: 126, highestPoint: 196 }
{ turn: 127, highestPoint: 198 }
{ turn: 128, highestPoint: 201 }
{ turn: 129, highestPoint: 201 }
{ turn: 130, highestPoint: 202 }
{ turn: 131, highestPoint: 203 }
{ turn: 132, highestPoint: 206 }
{ turn: 133, highestPoint: 208 }
{ turn: 134, highestPoint: 210 }
{ turn: 135, highestPoint: 210 }
{ turn: 136, highestPoint: 210 }
{ turn: 137, highestPoint: 212 }
{ turn: 138, highestPoint: 215 }
{ turn: 139, highestPoint: 219 }
{ turn: 140, highestPoint: 219 }
{ turn: 141, highestPoint: 220 }
{ turn: 142, highestPoint: 222 }
{ turn: 143, highestPoint: 223 }
{ turn: 144, highestPoint: 225 }
{ turn: 145, highestPoint: 225 }
{ turn: 146, highestPoint: 226 }
{ turn: 147, highestPoint: 228 }
{ turn: 148, highestPoint: 229 }
{ turn: 149, highestPoint: 231 }
